Attendance Date,In Time,Last Out Time,Was at Work
29-Nov-18,12:03 PM,04:58 PM,TRUE
28-Nov-18,12:06 PM,10:57 PM,TRUE
27-Nov-18,12:01 PM,10:09 PM,TRUE
26-Nov-18,11:59 AM,10:37 PM,TRUE
25-Nov-18,,,FALSE
24-Nov-18,,,FALSE
23-Nov-18,,,FALSE
22-Nov-18,,,FALSE
21-Nov-18,12:10 PM,04:59 PM,TRUE
20-Nov-18,12:02 PM,10:45 PM,TRUE
19-Nov-18,12:08 PM,09:58 PM,TRUE
18-Nov-18,,,FALSE
17-Nov-18,,,FALSE
16-Nov-18,12:09 PM,10:15 PM,TRUE
15-Nov-18,11:55 AM,09:36 PM,TRUE
14-Nov-18,11:50 AM,09:39 PM,TRUE
13-Nov-18,12:13 PM,12:37 AM,TRUE
12-Nov-18,12:02 PM,09:32 PM,TRUE
11-Nov-18,,,FALSE
10-Nov-18,,,FALSE
09-Nov-18,11:56 AM,09:44 PM,TRUE
08-Nov-18,12:02 PM,09:33 PM,TRUE
07-Nov-18,,,FALSE
06-Nov-18,11:58 AM,09:53 PM,TRUE
05-Nov-18,12:13 PM,10:21 PM,TRUE
04-Nov-18,,,FALSE
03-Nov-18,,,FALSE
02-Nov-18,11:29 AM,10:17 PM,TRUE
01-Nov-18,,,FALSE
31-Oct-18,12:04 PM,10:15 PM,TRUE
30-Oct-18,12:07 PM,10:41 PM,TRUE
29-Oct-18,12:02 PM,09:46 PM,TRUE
28-Oct-18,,,FALSE
27-Oct-18,,,FALSE
26-Oct-18,12:06 PM,08:49 PM,TRUE
25-Oct-18,11:53 AM,09:44 PM,TRUE
24-Oct-18,12:13 PM,10:01 PM,TRUE
23-Oct-18,12:13 PM,10:43 PM,TRUE
22-Oct-18,12:04 PM,10:24 PM,TRUE
21-Oct-18,,,FALSE
20-Oct-18,,,FALSE
19-Oct-18,12:07 PM,09:42 PM,TRUE
18-Oct-18,11:14 AM,10:15 PM,TRUE
17-Oct-18,12:06 PM,11:07 PM,TRUE
16-Oct-18,11:46 AM,10:06 PM,TRUE
15-Oct-18,12:01 PM,09:48 PM,TRUE
14-Oct-18,,,FALSE
13-Oct-18,,,FALSE
12-Oct-18,12:02 PM,09:55 PM,TRUE
11-Oct-18,12:14 PM,10:29 PM,TRUE
10-Oct-18,11:58 AM,09:45 PM,TRUE
09-Oct-18,12:14 PM,10:16 PM,TRUE
08-Oct-18,12:04 PM,09:48 PM,TRUE
07-Oct-18,,,FALSE
06-Oct-18,,,FALSE
05-Oct-18,12:11 PM,09:04 PM,TRUE
04-Oct-18,01:39 PM,10:59 PM,TRUE
03-Oct-18,12:06 PM,09:05 PM,TRUE
02-Oct-18,,,FALSE
01-Oct-18,12:09 PM,09:46 PM,TRUE
30-Sep-18,,,FALSE
29-Sep-18,,,FALSE
28-Sep-18,12:02 PM,09:10 PM,TRUE
27-Sep-18,12:13 PM,10:46 PM,TRUE
26-Sep-18,12:08 PM,09:59 PM,TRUE
25-Sep-18,12:06 PM,10:02 PM,TRUE
24-Sep-18,12:14 PM,10:15 PM,TRUE
23-Sep-18,,,FALSE
22-Sep-18,12:42 PM,06:39 PM,TRUE
21-Sep-18,12:05 PM,09:14 PM,TRUE
20-Sep-18,12:07 PM,09:42 PM,TRUE
19-Sep-18,12:08 PM,09:59 PM,TRUE
18-Sep-18,12:05 PM,10:00 PM,TRUE
17-Sep-18,12:06 PM,10:19 PM,TRUE
16-Sep-18,,,FALSE
15-Sep-18,,,FALSE
14-Sep-18,12:00 PM,09:13 PM,TRUE
13-Sep-18,,,FALSE
12-Sep-18,11:50 AM,09:01 PM,TRUE
11-Sep-18,,,FALSE
10-Sep-18,12:14 PM,04:49 PM,TRUE
09-Sep-18,,,FALSE
08-Sep-18,,,FALSE
07-Sep-18,12:05 PM,09:31 PM,TRUE
06-Sep-18,12:02 PM,09:43 PM,TRUE
05-Sep-18,12:06 PM,09:28 PM,TRUE
04-Sep-18,12:06 PM,10:07 PM,TRUE
03-Sep-18,12:06 PM,09:48 PM,TRUE
02-Sep-18,,,FALSE
01-Sep-18,,,FALSE
31-Aug-18,12:08 PM,09:14 PM,TRUE
30-Aug-18,02:17 PM,09:50 PM,TRUE
29-Aug-18,12:04 PM,09:01 PM,TRUE
28-Aug-18,12:04 PM,09:41 PM,TRUE
27-Aug-18,11:59 AM,08:51 PM,TRUE
24-Aug-18,12:01 PM,09:30 PM,TRUE
23-Aug-18,12:11 PM,10:10 PM,TRUE
22-Aug-18,,,FALSE
21-Aug-18,11:59 AM,09:36 PM,TRUE
20-Aug-18,12:08 PM,09:43 PM,TRUE
19-Aug-18,,,FALSE
17-Aug-18,12:02 PM,09:31 PM,TRUE
16-Aug-18,12:06 PM,09:38 PM,TRUE
15-Aug-18,,,FALSE
14-Aug-18,12:09 PM,09:05 PM,TRUE
13-Aug-18,12:07 PM,10:00 PM,TRUE
12-Aug-18,,,FALSE
11-Aug-18,,,FALSE
10-Aug-18,11:57 AM,09:05 PM,TRUE
09-Aug-18,12:02 PM,11:23 PM,TRUE
08-Aug-18,12:00 PM,09:23 PM,TRUE
07-Aug-18,12:07 PM,09:03 PM,TRUE
06-Aug-18,12:04 PM,09:31 PM,TRUE
05-Aug-18,,,FALSE
04-Aug-18,,,FALSE
03-Aug-18,11:59 AM,09:48 PM,TRUE
02-Aug-18,12:04 PM,10:01 PM,TRUE
01-Aug-18,11:56 AM,09:12 PM,TRUE
31-Jul-18,11:56 AM,10:07 PM,TRUE
30-Jul-18,12:10 PM,09:32 PM,TRUE
29-Jul-18,,,FALSE
28-Jul-18,,,FALSE
27-Jul-18,12:13 PM,08:53 PM,TRUE
26-Jul-18,12:14 PM,11:29 PM,TRUE
25-Jul-18,11:58 AM,10:14 PM,TRUE
24-Jul-18,12:06 PM,11:00 PM,TRUE
23-Jul-18,12:09 PM,09:38 PM,TRUE
22-Jul-18,,,FALSE
21-Jul-18,,,FALSE
20-Jul-18,12:10 PM,09:03 PM,TRUE
19-Jul-18,,,FALSE
18-Jul-18,12:11 PM,09:04 PM,TRUE
17-Jul-18,12:09 PM,10:29 PM,TRUE
16-Jul-18,11:39 AM,08:57 PM,TRUE
15-Jul-18,,,FALSE
14-Jul-18,,,FALSE
13-Jul-18,11:52 AM,09:00 PM,TRUE
12-Jul-18,04:05 PM,09:32 PM,TRUE
11-Jul-18,12:12 PM,09:44 PM,TRUE
10-Jul-18,12:03 PM,09:49 PM,TRUE
09-Jul-18,12:08 PM,09:17 PM,TRUE
08-Jul-18,,,FALSE
07-Jul-18,,,FALSE
06-Jul-18,11:54 AM,09:03 PM,TRUE
05-Jul-18,12:08 PM,09:27 PM,TRUE
04-Jul-18,11:56 AM,09:42 PM,TRUE
03-Jul-18,11:51 AM,09:30 PM,TRUE
02-Jul-18,11:53 AM,09:21 PM,TRUE
01-Jul-18,,,FALSE
30-Jun-18,,,FALSE
29-Jun-18,12:09 PM,09:01 PM,TRUE
28-Jun-18,12:09 PM,09:56 PM,TRUE
27-Jun-18,12:14 PM,09:54 PM,TRUE
26-Jun-18,12:11 PM,10:17 PM,TRUE
25-Jun-18,12:11 PM,10:04 PM,TRUE
24-Jun-18,,,FALSE
23-Jun-18,,,FALSE
22-Jun-18,12:11 PM,10:55 PM,TRUE
21-Jun-18,12:08 PM,09:57 PM,TRUE
20-Jun-18,12:10 PM,09:55 PM,TRUE
19-Jun-18,12:13 PM,10:18 PM,TRUE
18-Jun-18,12:11 PM,10:03 PM,TRUE
17-Jun-18,,,FALSE
16-Jun-18,,,FALSE
15-Jun-18,,,FALSE
14-Jun-18,,,FALSE
13-Jun-18,12:07 PM,08:45 PM,TRUE
12-Jun-18,11:57 AM,09:22 PM,TRUE
11-Jun-18,11:58 AM,09:51 PM,TRUE
10-Jun-18,,,FALSE
08-Jun-18,01:06 PM,10:23 PM,TRUE
07-Jun-18,01:30 PM,10:21 PM,TRUE
06-Jun-18,01:43 PM,10:27 PM,TRUE
05-Jun-18,01:31 PM,10:21 PM,TRUE
04-Jun-18,01:36 PM,10:22 PM,TRUE
03-Jun-18,,,FALSE
02-Jun-18,,,FALSE
01-Jun-18,01:40 PM,10:24 PM,TRUE
31-May-18,01:03 PM,10:22 PM,TRUE
30-May-18,01:31 PM,10:29 PM,TRUE
29-May-18,12:41 PM,10:18 PM,TRUE
28-May-18,,,FALSE
27-May-18,,,FALSE
26-May-18,,,FALSE
