Serial,CTRP,P,R
1,133,111600,1197576
2,111,104400,1053648
3,129,97200,1124172
4,117,79200,987144
5,130,126000,1283616
6,154,108000,1295100
7,149,147600,1407444
8,90,104400,922416
9,118,169200,1272012
10,131,75600,1064856
11,141,133200,1269960
12,119,133200,1064760
13,115,176400,1207488
14,102,180000,1186284
15,129,133200,1231464
16,144,147600,1296708
17,153,122400,1320648
18,96,158400,1102704
19,104,165600,1184316
20,156,104400,1326360
21,119,136800,1162596
22,125,115200,1195116
23,130,115200,1134768
24,123,151200,1269024
25,128,97200,1118688
26,97,122400,904776
27,124,208800,1357644
28,138,93600,1027308
29,137,115200,1181976
30,129,118800,1221636
31,97,129600,1060452
32,133,100800,1229028
33,145,147600,1406196
34,149,126000,1293936
35,122,108000,1056384
36,120,194400,1415316
37,128,176400,1338060
38,117,172800,1457400
