City Name,Zone Name,Ward Name,Ward No.,No. of unemployed persons (seeking or available for work),No. of employed persons,Total labour force in the city (age 15-59) [Employed + Unemployed Persons)
Bengaluru,Yelahanka,Kempegowda Ward,1,19989,14794,34783
Bengaluru,Yelahanka,Chowdeswari Ward,2,19737,16865,36602
Bengaluru,Yelahanka,Atturu,3,34311,23818,58129
Bengaluru,Yelahanka,Yelahanka Satellite Town,4,24264,17722,41986
Bengaluru,Yelahanka,Jakkuru,5,31580,20445,52025
Bengaluru,Yelahanka,Thanisandra,6,43413,28442,71855
Bengaluru,Yelahanka,Byatarayanapura,7,39999,32155,72154
Bengaluru,Yelahanka,Kodigehalli,8,26856,20690,47546
Bengaluru,Yelahanka,Vidyaranyapura,9,33260,23935,57195
Bengaluru,Yelahanka,Dodda Bommasandra,10,20118,16278,36396
Bengaluru,Yelahanka,Kuvempu Nagar,11,22541,14587,37128
Bengaluru,Dasarahalli,Shettihalli,12,35376,25695,61071
Bengaluru,Dasarahalli,Mallasandra,13,23146,18336,41482
Bengaluru,Dasarahalli,Bagalakunte,14,36835,28278,65113
Bengaluru,Dasarahalli,T Dasarahalli,15,17385,15657,33042
Bengaluru,Rajarajeswari Nagar,Jalahalli,16,21570,16389,37959
Bengaluru,Rajarajeswari Nagar,J P Park,17,28729,20881,49610
Bengaluru,East,Radhakrishna Temple Ward,18,20081,15041,35122
Bengaluru,East,SanJayanagar,19,19564,12927,32491
Bengaluru,East,Ganga Nagar,20,16677,10684,27361
Bengaluru,East,Hebbala,21,18906,13610,32516
Bengaluru,East,Vishwanath Nagenahalli,22,30416,21176,51592
Bengaluru,East,Nagavara,23,39471,21012,60483
Bengaluru,East,HBR Layout,24,34818,24149,58967
Bengaluru,Mahadevapura,Horamavu,25,53983,41385,95368
Bengaluru,Mahadevapura,Ramamurthy Nagar,26,27085,20273,47358
Bengaluru,East,Banasavadi,27,28408,22860,51268
Bengaluru,East,Kammanahalli,28,25401,21673,47074
Bengaluru,East,Kacharkanahalli,29,19098,14490,33588
Bengaluru,East,Kadugondanahalli,30,29325,16423,45748
Bengaluru,East,Kushal Nagar,31,27577,14359,41936
Bengaluru,East,Kaval Bairasandra,32,22296,17038,39334
Bengaluru,East,Manorayana Palya,33,29552,18374,47926
Bengaluru,East,Gangenahalli,34,14560,9748,24308
Bengaluru,West,Aramane Nagara,35,21977,14761,36738
Bengaluru,West,Mattikere,36,21691,15345,37036
Bengaluru,Rajarajeswari Nagar,Yeshwanthpura,37,24196,16911,41107
Bengaluru,Rajarajeswari Nagar,HMT Ward,38,18627,18252,36879
Bengaluru,Dasarahalli,Chokkasandra,39,26207,33082,59289
Bengaluru,Rajarajeswari Nagar,Dodda Bidarakallu,40,35757,37037,72794
Bengaluru,Dasarahalli,Peenya Industrial Area,41,23257,34557,57814
Bengaluru,Rajarajeswari Nagar,Lakshmi Devi Nagar,42,19329,22023,41352
Bengaluru,West,Nandini Layout,43,26677,24523,51200
Bengaluru,West,Marappana Palya,44,22188,18024,40212
Bengaluru,West,Malleshwaram,45,20624,13572,34196
Bengaluru,East,Jayachamarajendra Nagar,46,19148,12301,31449
Bengaluru,East,Devara Jeevanahalli,47,25732,16403,42135
Bengaluru,East,Muneshwara Nagar,48,23259,12555,35814
Bengaluru,East,Lingarajapura,49,23039,14916,37955
Bengaluru,East,Benniganahalli,50,26545,22549,49094
Bengaluru,Mahadevapura,Vijnanapura,51,27214,18945,46159
Bengaluru,Mahadevapura,KR Puram,52,20457,14711,35168
Bengaluru,Mahadevapura,Basavanapura,53,28909,19676,48585
Bengaluru,Mahadevapura,Hudi,54,26399,23792,50191
Bengaluru,Mahadevapura,Devasandra,55,18672,15274,33946
Bengaluru,Mahadevapura,A Narayanapura,56,25217,18226,43443
Bengaluru,East,C.V. Raman Nagar,57,31788,27027,58815
Bengaluru,East,New Tippa Sandra,58,23614,20369,43983
Bengaluru,East,Maruthi Seva Nagar,59,24035,16327,40362
Bengaluru,East,Sagayara Puram,60,21167,14167,35334
Bengaluru,East,SK Garden,61,24134,13916,38050
Bengaluru,East,Ramaswamy Palya,62,21045,13349,34394
Bengaluru,East,Jaya Mahal,63,13431,8297,21728
Bengaluru,West,Raj Mahal Guttahalli,64,18532,12586,31118
Bengaluru,West,Kadu Malleshwar Ward,65,20833,14776,35609
Bengaluru,West,Subramanya Nagar,66,21159,14550,35709
Bengaluru,West,Nagapura,67,20093,14481,34574
Bengaluru,Yelahanka,Kempegowda Ward,68,25270,19345,44615
Bengaluru,Yelahanka,Chowdeswari Ward,69,27963,29114,57077
Bengaluru,Yelahanka,Atturu,70,28097,33382,61479
Bengaluru,Yelahanka,Yelahanka Satellite Town,71,32191,34123,66314
Bengaluru,Yelahanka,Jakkuru,72,34774,27498,62272
Bengaluru,Yelahanka,Thanisandra,73,37726,31196,68922
Bengaluru,Yelahanka,Byatarayanapura,74,24178,19666,43844
Bengaluru,Yelahanka,Kodigehalli,75,28007,20727,48734
Bengaluru,Yelahanka,Vidyaranyapura,76,19796,13440,33236
Bengaluru,Yelahanka,Dodda Bommasandra,77,18672,14716,33388
Bengaluru,Yelahanka,Kuvempu Nagar,78,17929,10906,28835
Bengaluru,Dasarahalli,Shettihalli,79,20811,16480,37291
Bengaluru,Dasarahalli,Mallasandra,80,19381,15847,35228
Bengaluru,Dasarahalli,Bagalakunte,81,30726,26336,57062
Bengaluru,Dasarahalli,T Dasarahalli,82,23910,25721,49631
Bengaluru,Rajarajeswari Nagar,Jalahalli,83,26022,17920,43942
Bengaluru,Rajarajeswari Nagar,J P Park,84,28197,22359,50556
Bengaluru,East,Radhakrishna Temple Ward,85,32992,30091,63083
Bengaluru,East,SanJayanagar,86,20068,19700,39768
Bengaluru,East,Ganga Nagar,87,23469,16457,39926
Bengaluru,East,Hebbala,88,21433,16818,38251
Bengaluru,East,Vishwanath Nagenahalli,89,19252,14541,33793
