"","date","main_activity","count","out.of.house.time","out.of.house.lat","out.of.house.long","In.Time","Last.Out.Time","Was.at.Work","in.time.dmy.hm","out.time.dmy.hm","post.midnight","hours.worked","policy.in.time","policy.in.time.dmy.hm","policy.out.time.dmy.hm","diff.in.time","diff.out.time","travelling.time"
"1",2017-11-23,"ON_FOOT",2,2017-11-23 12:25:37,12.9780633,77.7339416,"12:34 PM","10:16 PM",TRUE,2017-11-23 12:34:00,2017-11-23 22:16:00,FALSE,9.7,"1:00 PM",2017-11-23 13:00:00,2017-11-23 22:00:00,26,16,502.733000040054
"2",2017-11-27,"ON_FOOT",7,2017-11-27 11:44:07,12.9771781,77.7339416,"12:14 PM","10:43 PM",TRUE,2017-11-27 12:14:00,2017-11-27 22:43:00,FALSE,10.4833333333333,"1:00 PM",2017-11-27 13:00:00,2017-11-27 22:00:00,46,43,1792.78900003433
"3",2017-11-29,"ON_FOOT",5,2017-11-29 11:54:57,12.9780439,77.7338567,"12:15 PM","10:08 PM",TRUE,2017-11-29 12:15:00,2017-11-29 22:08:00,FALSE,9.88333333333333,"1:00 PM",2017-11-29 13:00:00,2017-11-29 22:00:00,45,8,1202.75699996948
"4",2017-12-01,"ON_FOOT",6,2017-12-01 12:18:39,12.9779762,77.7342992,"12:41 PM","09:59 PM",TRUE,2017-12-01 12:41:00,2017-12-01 21:59:00,FALSE,9.3,"1:00 PM",2017-12-01 13:00:00,2017-12-01 22:00:00,19,-1,1340.26900005341
"5",2017-12-04,"ON_FOOT",6,2017-12-04 11:58:13,12.9780839,77.7336746,"12:18 PM","10:11 PM",TRUE,2017-12-04 12:18:00,2017-12-04 22:11:00,FALSE,9.88333333333333,"1:00 PM",2017-12-04 13:00:00,2017-12-04 22:00:00,42,11,1186.14599990845
"6",2017-12-05,"ON_FOOT",7,2017-12-05 12:12:52,12.978041,77.7339483,"12:35 PM","09:48 PM",TRUE,2017-12-05 12:35:00,2017-12-05 21:48:00,FALSE,9.21666666666667,"1:00 PM",2017-12-05 13:00:00,2017-12-05 22:00:00,25,-12,1327.55399990082
"7",2017-12-06,"ON_FOOT",3,2017-12-06 12:28:26,12.9779743,77.733636,"12:41 PM","10:03 PM",TRUE,2017-12-06 12:41:00,2017-12-06 22:03:00,FALSE,9.36666666666667,"1:00 PM",2017-12-06 13:00:00,2017-12-06 22:00:00,19,3,753.424999952316
"8",2017-12-07,"ON_FOOT",6,2017-12-07 12:02:58,12.9771687,77.7337262,"12:23 PM","09:50 PM",TRUE,2017-12-07 12:23:00,2017-12-07 21:50:00,FALSE,9.45,"1:00 PM",2017-12-07 13:00:00,2017-12-07 22:00:00,37,-10,1201.93099999428
"9",2017-12-08,"ON_FOOT",6,2017-12-08 12:07:15,12.9771687,77.7338433,"12:31 PM","09:54 PM",TRUE,2017-12-08 12:31:00,2017-12-08 21:54:00,FALSE,9.38333333333333,"1:00 PM",2017-12-08 13:00:00,2017-12-08 22:00:00,29,-6,1424.50999999046
"10",2017-12-11,"ON_FOOT",3,2017-12-11 12:56:13,12.9779876,77.7337845,"01:10 PM","10:01 PM",TRUE,2017-12-11 13:10:00,2017-12-11 22:01:00,FALSE,8.85,"1:00 PM",2017-12-11 13:00:00,2017-12-11 22:00:00,-10,1,826.303999900818
"11",2017-12-12,"ON_FOOT",6,2017-12-12 12:38:22,12.9771687,77.7337312,"01:02 PM","09:59 PM",TRUE,2017-12-12 13:02:00,2017-12-12 21:59:00,FALSE,8.95,"1:00 PM",2017-12-12 13:00:00,2017-12-12 22:00:00,-2,-1,1417.59899997711
